4.24005 379.78627
8.09464 379.73228
11.62801 373.94230
13.55530 365.30457
16.83170 368.12893
20.94326 368.07134
24.79785 366.10386
28.65244 373.70386
32.18581 376.52462
36.36162 377.42289
37.64648 366.88065
41.75804 371.22411
45.35566 373.46993
49.21025 379.15643
53.38605 381.96820
56.59821 379.05296
60.77401 378.99448
64.30738 378.94499
68.74016 374.29051
72.33778 373.09202
75.87115 373.04254
77.47723 365.36605
81.33182 368.66069
85.18641 367.17158
89.36221 364.24285
92.57437 361.32761
97.07139 358.39438
100.86173 355.47105
104.20238 356.57236
108.31394 361.10717
112.16853 361.05318
116.02311 360.99920
120.19892 358.07047
123.73229 355.15073
127.58688 360.83724
131.18450 360.78685
134.01119 357.87702
135.55303 371.05856
139.15065 368.32927
139.15065 355.89154
142.74826 360.62490
146.85982 360.56731
150.97138 355.91733
154.56900 356.15397
158.68056 354.66126
162.53515 354.60728
165.81155 357.43163
169.98735 360.24340
174.09891 360.18581
177.69653 365.87592
181.55112 365.82193
185.72692 362.89320
189.26030 359.97347
193.11488 361.06758
196.96947 359.86550
200.82406 359.81151
204.93562 359.75392
208.53324 363.14783
212.38783 371.13054
216.24242 365.33606
220.09700 366.71720
223.95159 365.22809
227.80618 370.91460
231.33955 365.12462
233.26685 356.48688
236.47900 360.74726
239.36995 362.14190
240.91178 377.61964
243.22453 407.29430
243.22453 385.04989
245.15183 420.90098
246.11548 442.41433
247.07912 461.53582
249.64885 473.93756
252.47555 486.52706
255.75195 479.59258
258.64289 465.20085
261.21261 450.09607
263.52537 429.54141
266.35207 415.58113
269.17876 399.61167
272.45516 393.25123
274.38246 381.02569
278.23705 384.55952
280.48556 384.52802
281.77042 398.86126
283.05528 471.55619
283.05528 429.45923
284.34015 530.85663
285.62501 595.89756
286.90987 664.76549
288.19473 731.71992
288.83717 789.11585
289.47960 841.72805
290.76446 879.02326
292.04932 916.31848
292.69175 949.79569
294.61905 973.68742
296.22513 989.92966
299.11607 981.27843
299.11607 965.49207
299.75850 948.73997
301.68579 938.18874
302.32823 906.60702
303.61309 875.01631
303.61309 846.31385
304.89795 814.72314
306.18281 786.95942
306.18281 756.34345
307.46768 723.79600
308.75254 691.24854
309.39497 662.53707
310.03740 641.47960
311.32227 607.97539
312.60713 585.95217
313.24956 564.89469
313.89199 547.66421
315.17685 526.59774
316.46172 508.40152
317.74658 491.16204
319.03144 472.96582
320.31630 453.81284
321.60117 437.53012
324.17089 421.22939
326.74062 403.97192
330.85218 393.58145
334.12858 392.38746
337.01952 380.86598
340.87411 381.96010
344.98567 376.16202
348.58329 374.96353
352.69485 370.31355
356.29246 371.26775
360.14705 372.88808
364.00164 376.18271
368.17745 386.17009
370.42596 389.00885
371.71082 403.34209
372.99568 438.72380
374.28054 520.02947
374.92298 650.13832
375.56541 828.08463
376.85027 1226.07419
376.85027 1025.15691
378.13513 1415.49249
379.42000 1590.55955
380.06243 1735.01964
380.70486 1849.82051
381.98972 1933.99642
383.27458 1997.12386
384.55945 2026.76508
387.12917 1992.28613
387.12917 2024.81559
389.69890 1944.41269
390.34133 1888.43388
390.34133 1818.11283
390.98376 1740.60717
392.26862 1663.09251
393.55349 1579.83736
394.83835 1498.49570
395.48078 1404.72531
396.12321 1327.21965
397.40808 1244.92125
398.69294 1166.44984
399.97780 1085.10818
399.97780 1017.17901
401.26266 959.75608
402.54753 900.41965
403.83239 841.08322
405.11725 786.53053
405.75968 730.07335
406.40211 695.62139
407.68698 663.07393
408.97184 620.95898
410.25670 592.23852
410.89913 560.65681
411.54157 537.68583
412.82643 515.66261
412.82643 498.44113
414.11129 479.28816
415.39615 461.09193
416.68102 443.85246
417.96588 430.43998
420.53561 416.29194
423.36230 400.32248
427.28114 393.95305
430.81451 391.03332
434.92607 398.43837
438.52369 408.14683
442.05706 410.96759
445.91165 408.04335
450.08745 407.98487
453.94204 403.62551
456.76874 395.26221
460.36635 392.05455
464.22094 386.26007
468.07553 380.46559
472.18709 374.38049
475.78471 373.18200
479.63930 378.86851
483.49389 373.07403
487.60545 368.42405
491.20306 372.96606
495.37887 372.90757
498.59102 375.73283
503.08804 375.66985
505.76484 367.02162
