0.001000 0.007788 0.003037 0.075510 0.028420 0.024040
0.001100 0.008168 0.002894 0.082730 0.030370 0.025940
0.001200 0.008531 0.002766 0.089870 0.032210 0.027770
0.001300 0.008880 0.002651 0.096930 0.033970 0.029540
0.001400 0.009215 0.002547 0.103910 0.035640 0.031240
0.001500 0.009538 0.002452 0.110810 0.037220 0.032890
0.001600 0.009851 0.002365 0.117630 0.038740 0.034490
0.001700 0.010150 0.002286 0.124370 0.040190 0.036040
0.001800 0.010450 0.002212 0.131030 0.041580 0.037540
0.002000 0.011010 0.002080 0.144130 0.044190 0.040420
0.002250 0.011680 0.001939 0.160100 0.047170 0.043780
0.002500 0.012310 0.001819 0.175650 0.049880 0.046920
0.002750 0.012910 0.001715 0.190800 0.052360 0.049860
0.003000 0.013490 0.001623 0.205580 0.054630 0.052620
0.003250 0.014040 0.001542 0.220000 0.056730 0.055230
0.003500 0.014570 0.001470 0.234100 0.058680 0.057690
0.003750 0.015080 0.001406 0.247890 0.060490 0.060020
0.004000 0.015580 0.001347 0.261390 0.062180 0.062230
0.004500 0.016490 0.001246 0.287620 0.065280 0.066350
0.005000 0.017340 0.001160 0.312910 0.068040 0.070110
0.005500 0.018160 0.001087 0.337350 0.070510 0.073570
0.006000 0.018930 0.001023 0.361040 0.072740 0.076780
0.006500 0.019670 0.000968 0.384030 0.074760 0.079750
0.007000 0.020390 0.000918 0.406380 0.076610 0.082520
0.008000 0.021730 0.000835 0.449380 0.079980 0.087570
0.009000 0.022990 0.000767 0.490360 0.082880 0.092050
0.010000 0.024170 0.000710 0.529600 0.085400 0.096080
0.011000 0.025280 0.000662 0.567310 0.087630 0.099730
0.012000 0.026340 0.000621 0.603670 0.089620 0.103070
0.013000 0.027350 0.000585 0.638820 0.091410 0.106130
0.014000 0.028310 0.000553 0.672880 0.093030 0.108970
0.015000 0.029230 0.000525 0.705960 0.094510 0.111600
0.016000 0.030110 0.000500 0.738150 0.095870 0.114060
0.017000 0.030960 0.000478 0.769520 0.097120 0.116360
0.018000 0.031780 0.000457 0.800140 0.098290 0.118520
0.020000 0.033330 0.000422 0.859360 0.100540 0.122490
0.022500 0.035110 0.000385 0.930090 0.103080 0.126900
0.025000 0.036760 0.000355 0.997690 0.105280 0.130810
0.027500 0.038280 0.000329 1.060000 0.107220 0.134330
0.030000 0.039690 0.000307 1.130000 0.108950 0.137520
0.032500 0.040990 0.000288 1.190000 0.110510 0.140440
0.035000 0.042210 0.000272 1.240000 0.111930 0.143130
0.037500 0.043340 0.000257 1.300000 0.113240 0.145630
0.040000 0.044400 0.000244 1.360000 0.114450 0.147960
0.045000 0.046300 0.000222 1.470000 0.117110 0.152200
0.050000 0.047950 0.000204 1.570000 0.119470 0.155990
0.055000 0.049380 0.000189 1.670000 0.121590 0.159420
0.060000 0.050620 0.000176 1.770000 0.123520 0.162560
0.065000 0.051700 0.000165 1.870000 0.125310 0.165470
0.070000 0.052610 0.000155 1.960000 0.126970 0.168180
0.080000 0.054060 0.000139 2.150000 0.131330 0.173140
0.090000 0.055060 0.000126 2.330000 0.135280 0.177620
0.100000 0.055700 0.000116 2.510000 0.138950 0.181740
0.110000 0.056030 0.000107 2.690000 0.142410 0.185580
0.120000 0.056120 0.000099 2.870000 0.145710 0.189220
0.130000 0.056010 0.000093 3.040000 0.148910 0.192690
0.140000 0.055730 0.000087 3.220000 0.152030 0.196040
0.150000 0.055310 0.000082 3.400000 0.155090 0.199290
0.160000 0.054790 0.000078 3.580000 0.158110 0.202460
0.170000 0.054170 0.000074 3.770000 0.161120 0.205570
0.180000 0.053490 0.000071 3.950000 0.164120 0.208650
0.200000 0.051990 0.000064 4.330000 0.174290 0.214720
