run,entry,type,status
155,26400,Other,False
155,26409,Binary,True
155,26479,Binary,True
155,26527,Binary,True
155,26624,Other,False
155,26728,Binary,True
155,26807,Other,False
155,26810,Other,False
155,26983,Multi,True
155,27072,Other,False
155,27106,Other,False
155,27112,Other,False
155,27319,Other,False
155,27364,Multi,False
155,27484,Other,False
155,27508,Other,False
155,27566,Binary,True
155,27669,Other,False
155,27671,Binary,True
155,27817,Binary,True
155,27890,Other,False
155,27907,Binary,True
155,28100,Other,False
155,28170,Binary,True
155,28234,Binary,True
155,28238,Multi,False
155,28246,Other,False
155,28252,Binary,True
155,28434,Other,False
155,28611,Multi,True
155,28696,Other,False
155,28773,Binary,True
155,28786,Other,False
155,28796,Binary,True
155,28852,Binary,True
155,28872,Binary,False
155,29127,Binary,True
155,29206,Other,False
155,29265,Other,False
155,29379,Binary,True
155,29821,Binary,True
155,29946,Binary,True
155,29967,Other,False
155,30080,Other,False
155,30567,Other,False
155,30811,Other,False
155,30818,Other,False
155,30920,Other,False
155,31355,Binary,True
155,31360,Other,False
155,31386,Binary,False
155,31507,Other,False
155,31543,Other,False
155,31784,Binary,True
155,31798,Binary,True
155,31825,Other,False
155,31954,Other,False
155,31973,Other,False
155,32038,Binary,True
155,32139,Binary,False
155,32255,Binary,True
155,32328,Binary,True
155,32421,Binary,True
155,32478,Other,False
155,32688,Binary,True
155,32820,Other,False
155,32854,Other,False
155,33032,Other,False
155,33143,Other,False
155,33224,Binary,True
155,33226,Binary,True
155,33265,Other,False
155,33343,Other,False
155,33374,Other,False
155,33536,Other,False
155,33546,Other,False
155,33664,Other,False
155,33780,Other,False
155,33792,Other,False
155,33911,Other,False
155,33968,Other,False
155,34021,Binary,True
155,34032,Other,False
155,34052,Other,False
155,34094,Other,False
155,34198,Other,False
155,34260,Other,False
155,34307,Binary,True
155,34309,Other,False
155,34327,Other,False
155,34338,Binary,True
155,34345,Other,False
155,34424,Binary,True
155,34603,Other,False
155,34757,Other,False
155,34800,Binary,True
155,34827,Binary,True
155,34931,Other,False
155,35201,Binary,True
155,35229,Other,False
155,35322,Other,False
155,35384,Binary,True
155,35453,Binary,True
155,35456,Other,False
155,35484,Other,False
155,35621,Other,False
155,35701,Other,False
155,35776,Binary,True
155,35814,Other,False
155,35856,Binary,False
155,35899,Other,False
155,35942,Binary,True
155,35943,Other,False
155,36129,Other,False
155,36189,Binary,True
155,36191,Other,False
155,36236,Binary,True
155,36240,Binary,True
155,36297,Other,False
155,36337,Other,False
155,36451,Other,False
155,36639,Other,False
155,36756,Other,False
155,36804,Binary,True
155,36860,Other,False
155,36865,Binary,True
155,37292,Binary,False
155,37426,Binary,True
