
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modtsp3015_m0p.wav=O19_sfotls_modtsp3015_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 5(  94) -113.162  24.962    0.0001
 0(   1) -138.125 5( 103) -112.938  25.187    0.0005
 0(   1) -138.125 5( 104) -112.855  25.270    0.0002
 0(   1) -138.125 5( 109) -112.718  25.407    0.0016
 0(   1) -138.125 5( 111) -112.648  25.476    0.0000
 0(   1) -138.125 5( 116) -112.512  25.613    0.0001
 0(   1) -138.125 5( 120) -112.398  25.727    0.0003
 0(   1) -138.125 5( 124) -112.282  25.843    0.0001
 0(   1) -138.125 5( 129) -112.158  25.966    0.0000
 0(   1) -138.125 5( 133) -112.050  26.075    0.0001
 0(   1) -138.125 5( 135) -112.032  26.092    0.0006
 0(   1) -138.125 5( 143) -111.814  26.310    0.0004
 0(   1) -138.125 5( 144) -111.802  26.323    0.0005
 0(   1) -138.125 5( 149) -111.726  26.399    0.0008
 0(   1) -138.125 5( 154) -111.589  26.535    0.0006
 0(   1) -138.125 5( 156) -111.542  26.582    0.0002
 0(   1) -138.125 5( 161) -111.473  26.652    0.0003
 0(   1) -138.125 5( 162) -111.463  26.662    0.0003
 0(   1) -138.125 5( 165) -111.409  26.715    0.0023
 0(   1) -138.125 5( 170) -111.287  26.838    0.0000
 0(   1) -138.125 5( 175) -111.217  26.908    0.0000
 0(   1) -138.125 5( 176) -111.168  26.956    0.0001
 0(   1) -138.125 5( 183) -111.047  27.077    0.0002
 0(   1) -138.125 5( 187) -110.985  27.140    0.0012
 0(   1) -138.125 5( 194) -110.895  27.230    0.0001
 0(   1) -138.125 5( 199) -110.771  27.353    0.0000
 0(   1) -138.125 5( 202) -110.709  27.416    0.0005
 0(   1) -138.125 5( 207) -110.648  27.477    0.0001
 0(   1) -138.125 5( 209) -110.605  27.520    0.0000
 0(   1) -138.125 5( 212) -110.580  27.545    0.0000
 0(   1) -138.125 5( 221) -110.440  27.685    0.0000
 0(   1) -138.125 5( 228) -110.363  27.762    0.0001
 0(   1) -138.125 5( 230) -110.319  27.806    0.0000
 0(   1) -138.125 5( 234) -110.242  27.883    0.0000
 0(   1) -138.125 5( 245) -110.109  28.015    0.0000
 0(   1) -138.125 5( 247) -110.073  28.052    0.0001
 0(   1) -138.125 5( 256) -109.996  28.128    0.0011
 0(   1) -138.125 5( 260) -109.938  28.187    0.0000
 0(   1) -138.125 5( 261) -109.889  28.236    0.0002
 0(   1) -138.125 5( 266) -109.822  28.302    0.0001
 0(   1) -138.125 5( 276) -109.724  28.400    0.0000
 0(   1) -138.125 5( 284) -109.621  28.504    0.0000
 0(   1) -138.125 5( 290) -109.582  28.543    0.0001
 0(   1) -138.125 5( 299) -109.470  28.655    0.0003
 0(   1) -138.125 5( 305) -109.439  28.686    0.0004
 0(   1) -138.125 5( 308) -109.403  28.721    0.0003
 0(   1) -138.125 5( 310) -109.435  28.690    0.0001
 0(   1) -138.125 5( 317) -109.297  28.828    0.0000
 0(   1) -138.125 5( 327) -109.172  28.952    0.0001
 0(   1) -138.125 5( 328) -109.142  28.983    0.0005
 0(   1) -138.125 5( 333) -109.100  29.025    0.0001
 0(   1) -138.125 5( 334) -109.066  29.058    0.0003
 0(   1) -138.125 5( 339) -109.041  29.084    0.0000
 0(   1) -138.125 5( 344) -108.952  29.172    0.0000
 0(   1) -138.125 5( 352) -108.886  29.239    0.0003
 0(   1) -138.125 5( 353) -108.892  29.232    0.0006
 0(   1) -138.125 5( 359) -108.822  29.303    0.0010
 0(   1) -138.125 5( 362) -108.810  29.314    0.0002
 0(   1) -138.125 5( 366) -108.762  29.363    0.0007
 0(   1) -138.125 5( 371) -108.754  29.370    0.0000
 0(   1) -138.125 5( 376) -108.668  29.457    0.0008
 0(   1) -138.125 5( 386) -108.601  29.524    0.0008
 0(   1) -138.125 5( 391) -108.526  29.599    0.0001
 0(   1) -138.125 5( 392) -108.519  29.606    0.0013


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 1(   3) -125.644  12.480    0.1559
 0(   1) -138.125 1(  13) -119.731  18.394    0.0088
 0(   1) -138.125 1(  17) -118.409  19.716    0.0004
 0(   1) -138.125 1(  24) -117.233  20.891    0.0005
 0(   1) -138.125 1(  31) -116.554  21.570    0.0007
 0(   1) -138.125 1(  39) -115.876  22.249    0.0007
 0(   1) -138.125 1(  42) -115.568  22.557    0.0003
 0(   1) -138.125 1(  48) -114.999  23.126    0.0003
 0(   1) -138.125 1(  55) -114.636  23.488    0.0003
 0(   1) -138.125 1(  62) -114.331  23.794    0.0000
 0(   1) -138.125 1(  73) -113.876  24.249    0.0000
 0(   1) -138.125 1(  79) -113.643  24.482    0.0000
 0(   1) -138.125 1(  89) -113.245  24.880    0.0003
 0(   1) -138.125 1(  97) -113.039  25.085    0.0000
 0(   1) -138.125 1( 108) -112.773  25.352    0.0000
 0(   1) -138.125 1( 113) -112.612  25.512    0.0001
 0(   1) -138.125 1( 128) -112.191  25.933    0.0000
 0(   1) -138.125 1( 141) -111.833  26.291    0.0000
 0(   1) -138.125 1( 147) -111.735  26.390    0.0000
 0(   1) -138.125 1( 155) -111.547  26.578    0.0002
 0(   1) -138.125 1( 168) -111.325  26.799    0.0001
 0(   1) -138.125 1( 177) -111.169  26.956    0.0000
 0(   1) -138.125 1( 189) -110.973  27.151    0.0000
 0(   1) -138.125 1( 201) -110.758  27.367    0.0000
 0(   1) -138.125 1( 216) -110.541  27.584    0.0003
 0(   1) -138.125 1( 224) -110.406  27.719    0.0000
 0(   1) -138.125 1( 237) -110.239  27.886    0.0000
 0(   1) -138.125 1( 244) -110.137  27.987    0.0000
 0(   1) -138.125 1( 251) -110.042  28.083    0.0002
 0(   1) -138.125 1( 257) -109.964  28.161    0.0000
 0(   1) -138.125 1( 267) -109.820  28.304    0.0013
 0(   1) -138.125 1( 283) -109.633  28.492    0.0000
 0(   1) -138.125 1( 295) -109.505  28.620    0.0003
 0(   1) -138.125 1( 302) -109.454  28.671    0.0001
 0(   1) -138.125 1( 311) -109.358  28.767    0.0002
 0(   1) -138.125 1( 324) -109.191  28.933    0.0000
 0(   1) -138.125 1( 325) -109.192  28.933    0.0002
 0(   1) -138.125 1( 351) -108.888  29.236    0.0001
 0(   1) -138.125 1( 357) -108.840  29.285    0.0000
 0(   1) -138.125 1( 368) -108.773  29.352    0.0000
 0(   1) -138.125 1( 379) -108.638  29.487    0.0000
 0(   1) -138.125 1( 383) -108.629  29.495    0.0000
 0(   1) -138.125 1( 390) -108.563  29.561    0.0001
 0(   1) -138.125 1( 399) -108.490  29.635    0.0000



