

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modtsp3015_m0p.wav=O19_sfotls_modtsp3015_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 3( 132) -115.002  23.123    0.0007
 0(   1) -138.125 3( 135) -114.940  23.185    0.0003
 0(   1) -138.125 3( 142) -114.805  23.319    0.0178
 0(   1) -138.125 3( 145) -114.610  23.514    0.0021
 0(   1) -138.125 3( 152) -114.563  23.562    0.0169
 0(   1) -138.125 3( 154) -114.490  23.634    0.0060
 0(   1) -138.125 3( 158) -114.392  23.733    0.0273
 0(   1) -138.125 3( 160) -114.369  23.756    0.0002
 0(   1) -138.125 3( 166) -114.281  23.843    0.0317
 0(   1) -138.125 3( 176) -113.984  24.141    0.0131
 0(   1) -138.125 3( 177) -114.040  24.085    0.0139
 0(   1) -138.125 3( 181) -113.972  24.153    0.0201
 0(   1) -138.125 3( 186) -113.814  24.310    0.0024
 0(   1) -138.125 3( 195) -113.666  24.458    0.0053
 0(   1) -138.125 3( 197) -113.631  24.494    0.0323
 0(   1) -138.125 3( 210) -113.417  24.708    0.0176
 0(   1) -138.125 3( 213) -113.392  24.732    0.0000
 0(   1) -138.125 3( 218) -113.231  24.894    0.0001
 0(   1) -138.125 3( 221) -113.173  24.951    0.0000
 0(   1) -138.125 3( 227) -113.117  25.008    0.0079
 0(   1) -138.125 3( 230) -113.068  25.057    0.0001
 0(   1) -138.125 3( 237) -112.966  25.159    0.0001
 0(   1) -138.125 3( 241) -112.967  25.158    0.0295
 0(   1) -138.125 3( 249) -112.849  25.276    0.0050
 0(   1) -138.125 3( 252) -112.686  25.439    0.0057
 0(   1) -138.125 3( 259) -112.672  25.452    0.0339
 0(   1) -138.125 3( 263) -112.668  25.457    0.0006
 0(   1) -138.125 3( 273) -112.404  25.721    0.0000
 0(   1) -138.125 3( 278) -112.326  25.798    0.0000
 0(   1) -138.125 3( 284) -112.289  25.836    0.0156
 0(   1) -138.125 3( 287) -112.223  25.901    0.0107
 0(   1) -138.125 3( 291) -112.231  25.893    0.0222
 0(   1) -138.125 3( 295) -112.163  25.962    0.0032
 0(   1) -138.125 3( 303) -112.020  26.105    0.0022
 0(   1) -138.125 3( 309) -111.971  26.154    0.0138
 0(   1) -138.125 3( 313) -111.968  26.157    0.0274
 0(   1) -138.125 3( 321) -111.818  26.307    0.0182
 0(   1) -138.125 3( 324) -111.777  26.348    0.0004
 0(   1) -138.125 3( 328) -111.739  26.385    0.0086
 0(   1) -138.125 3( 336) -111.585  26.539    0.0060
 0(   1) -138.125 3( 340) -111.510  26.615    0.0006
 0(   1) -138.125 3( 344) -111.509  26.616    0.0000
 0(   1) -138.125 3( 354) -111.380  26.745    0.0000
 0(   1) -138.125 3( 363) -111.297  26.828    0.0038
 0(   1) -138.125 3( 367) -111.253  26.872    0.0240
 0(   1) -138.125 3( 374) -111.175  26.949    0.0106
 0(   1) -138.125 3( 379) -111.098  27.027    0.0184
 0(   1) -138.125 3( 386) -111.127  26.998    0.2027
 0(   1) -138.125 3( 394) -110.945  27.179    0.0012
 0(   1) -138.125 3( 397) -110.940  27.185    0.0013
 0(   1) -138.125 3( 404) -110.904  27.220    0.0000
 0(   1) -138.125 3( 408) -110.778  27.347    0.0000
 0(   1) -138.125 3( 417) -110.696  27.428    0.0235
 0(   1) -138.125 3( 421) -110.733  27.392    0.0269
 0(   1) -138.125 3( 428) -110.660  27.464    0.0003
 0(   1) -138.125 3( 433) -110.595  27.530    0.1090
 0(   1) -138.125 3( 435) -110.562  27.563    0.0235
 0(   1) -138.125 3( 444) -110.452  27.672    0.0004
 0(   1) -138.125 3( 449) -110.404  27.721    0.0051
 0(   1) -138.125 3( 457) -110.400  27.725    0.0079
 0(   1) -138.125 3( 465) -110.305  27.820    0.0367
 0(   1) -138.125 3( 471) -110.212  27.912    0.0015
 0(   1) -138.125 3( 476) -110.173  27.952    0.0019
 0(   1) -138.125 3( 478) -110.173  27.952    0.0200
 0(   1) -138.125 3( 487) -110.081  28.043    0.0013
 0(   1) -138.125 3( 488) -110.059  28.066    0.0040
 0(   1) -138.125 3( 498) -109.977  28.147    0.0144
 0(   1) -138.125 3( 509) -109.901  28.224    0.0130
 0(   1) -138.125 3( 513) -109.878  28.247    0.0000
 0(   1) -138.125 3( 521) -109.792  28.333    0.0050
 0(   1) -138.125 3( 528) -109.673  28.452    0.0010
 0(   1) -138.125 3( 533) -109.634  28.491    0.0007
 0(   1) -138.125 3( 536) -109.670  28.454    0.0721
 0(   1) -138.125 3( 539) -109.663  28.462    0.0005
 0(   1) -138.125 3( 546) -109.571  28.553    0.0000
 0(   1) -138.125 3( 551) -109.549  28.575    0.1211
 0(   1) -138.125 3( 552) -109.593  28.532    0.0599
 0(   1) -138.125 3( 559) -109.501  28.623    0.0101
