d52,,s12,,p12,,p32,
X,Y,X,Y,X,Y,X,Y
0.029900268873593205,1.7137926431608856,0.785873648481151,0.18226197059552618,3.426102491194695,0.7500500562536943,5.349689133302312,0.1487202490464874
,,,,5.357991379377322,0.14384631193997865,5.810965897948578,0.14821446312034015
,,,,7.249535103647349,0.11131416117018889,10.36972173823721,0.2524983249841486
,,,,10.06500073804283,0.5422548055769192,11.997064965346528,0.18725960393428043
,,,,,,12.109349440951206,0.21357579894018297
,,,,,,13.519725832589614,0.1309487708232231
,,,,,,13.680044644332035,0.10609628963389817
,,,,,,14.704184510548924,0.32001308270167916
,,,,,,15.343865765508937,0.12894861738800412
,,,,,,16.5585796379596,0.8520538964698152
