0.05 25.6644 1.11488
0.075 10.9221 0.474502
0.1 6.02271 0.261657
0.125 3.81337 0.16567
0.15 2.6328 0.114376
0.175 1.9278 0.0837448
0.2 1.47343 0.0640039
0.225 1.16364 0.0505447
0.25 0.942657 0.0409436
0.275 0.7797 0.033863
0.3 0.655838 0.0284822
0.325 0.559653 0.0243036
0.35 0.483479 0.0209944
0.375 0.421999 0.0183238
0.4 0.371674 0.0161377
0.425 0.329991 0.014327
0.45 0.295024 0.0128081
0.475 0.265488 0.0115251
0.5 0.240206 0.010427
0.525 0.218446 0.00948195
0.55 0.199578 0.00866244
0.575 0.183095 0.00794662
0.6 0.168624 0.00731817
0.625 0.155839 0.00676293
0.65 0.144493 0.00627017
0.675 0.134367 0.00583046
0.7 0.125311 0.00543729
0.725 0.117162 0.0050835
0.75 0.109776 0.00476271
0.775 0.103129 0.0044741
