
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modt_m0p.wav=O19_sfotls_modt_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 1( 473) -118.757  31.155    0.0000
 0(   1) -149.911 1( 481) -118.671  31.241    0.0000
 0(   1) -149.911 1( 492) -118.615  31.297    0.0001
 0(   1) -149.911 1( 501) -118.523  31.388    0.0000
 0(   1) -149.911 1( 509) -118.474  31.438    0.0001
 0(   1) -149.911 1( 526) -118.352  31.559    0.0002
 0(   1) -149.911 1( 544) -118.190  31.722    0.0002
 0(   1) -149.911 1( 548) -118.161  31.750    0.0000
 0(   1) -149.911 1( 568) -118.041  31.870    0.0002
 0(   1) -149.911 1( 577) -117.976  31.936    0.0001
 0(   1) -149.911 1( 590) -117.870  32.041    0.0003
 0(   1) -149.911 1( 594) -117.846  32.065    0.0000
 0(   1) -149.911 1( 607) -117.750  32.162    0.0001
 0(   1) -149.911 1( 615) -117.717  32.195    0.0000
 0(   1) -149.911 1( 625) -117.649  32.263    0.0000
 0(   1) -149.911 1( 646) -117.537  32.375    0.0001
 0(   1) -149.911 1( 651) -117.489  32.422    0.0000
 0(   1) -149.911 1( 659) -117.458  32.454    0.0001
 0(   1) -149.911 1( 672) -117.367  32.544    0.0001
 0(   1) -149.911 1( 680) -117.331  32.581    0.0001
 0(   1) -149.911 1( 685) -117.266  32.645    0.0002
 0(   1) -149.911 1( 699) -117.173  32.739    0.0000
 0(   1) -149.911 1( 708) -117.119  32.792    0.0000
 0(   1) -149.911 1( 716) -117.075  32.837    0.0003
 0(   1) -149.911 1( 737) -116.965  32.947    0.0000
 0(   1) -149.911 1( 740) -116.927  32.984    0.0000
 0(   1) -149.911 1( 760) -116.815  33.096    0.0000
 0(   1) -149.911 1( 781) -116.691  33.220    0.0001
 0(   1) -149.911 1( 793) -116.641  33.270    0.0000
 0(   1) -149.911 1( 800) -116.604  33.307    0.0004
 0(   1) -149.911 1( 816) -116.541  33.371    0.0000
 0(   1) -149.911 1( 823) -116.497  33.415    0.0001
 0(   1) -149.911 1( 838) -116.413  33.499    0.0001
 0(   1) -149.911 1( 850) -116.358  33.554    0.0000
 0(   1) -149.911 1( 863) -116.307  33.604    0.0001
 0(   1) -149.911 1( 870) -116.275  33.636    0.0000
 0(   1) -149.911 1( 882) -116.208  33.703    0.0000
 0(   1) -149.911 1( 890) -116.161  33.750    0.0001
 0(   1) -149.911 1( 897) -116.132  33.780    0.0000
 0(   1) -149.911 1( 901) -116.108  33.803    0.0000
 0(   1) -149.911 1( 921) -115.997  33.915    0.0000
 0(   1) -149.911 1( 927) -115.976  33.935    0.0000
 0(   1) -149.911 1( 941) -115.917  33.995    0.0000
 0(   1) -149.911 1( 943) -115.913  33.998    0.0002
 0(   1) -149.911 1( 957) -115.851  34.061    0.0000
 0(   1) -149.911 1( 968) -115.795  34.117    0.0000
 0(   1) -149.911 1( 990) -115.697  34.215    0.0000
 0(   1) -149.911 1(1008) -115.616  34.295    0.0000
 0(   1) -149.911 1(1020) -115.540  34.372    0.0000
 0(   1) -149.911 1(1025) -115.533  34.379    0.0000
 0(   1) -149.911 1(1036) -115.486  34.425    0.0000




