
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modt_m0p.wav=O19_sfotls_modt_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 3( 561) -118.075  31.836    0.0001
 0(   1) -149.911 3( 564) -118.050  31.861    0.0001
 0(   1) -149.911 3( 571) -118.017  31.895    0.0005
 0(   1) -149.911 3( 574) -117.989  31.922    0.0000
 0(   1) -149.911 3( 586) -117.901  32.011    0.0002
 0(   1) -149.911 3( 592) -117.859  32.053    0.0000
 0(   1) -149.911 3( 598) -117.824  32.088    0.0001
 0(   1) -149.911 3( 602) -117.787  32.124    0.0000
 0(   1) -149.911 3( 613) -117.721  32.191    0.0000
 0(   1) -149.911 3( 627) -117.640  32.271    0.0000
 0(   1) -149.911 3( 630) -117.627  32.285    0.0000
 0(   1) -149.911 3( 635) -117.589  32.323    0.0002
 0(   1) -149.911 3( 637) -117.588  32.323    0.0001
 0(   1) -149.911 3( 643) -117.556  32.355    0.0003
 0(   1) -149.911 3( 652) -117.494  32.417    0.0001
 0(   1) -149.911 3( 655) -117.490  32.421    0.0000
 0(   1) -149.911 3( 660) -117.438  32.473    0.0000
 0(   1) -149.911 3( 665) -117.404  32.508    0.0001
 0(   1) -149.911 3( 674) -117.354  32.558    0.0002
 0(   1) -149.911 3( 677) -117.333  32.578    0.0000
 0(   1) -149.911 3( 687) -117.265  32.647    0.0001
 0(   1) -149.911 3( 696) -117.182  32.729    0.0003
 0(   1) -149.911 3( 703) -117.159  32.752    0.0000
 0(   1) -149.911 3( 709) -117.114  32.798    0.0005
 0(   1) -149.911 3( 714) -117.093  32.818    0.0002
 0(   1) -149.911 3( 721) -117.061  32.851    0.0001
 0(   1) -149.911 3( 730) -116.996  32.916    0.0002
 0(   1) -149.911 3( 731) -116.994  32.917    0.0001
 0(   1) -149.911 3( 743) -116.924  32.987    0.0001
 0(   1) -149.911 3( 745) -116.927  32.985    0.0001
 0(   1) -149.911 3( 757) -116.860  33.052    0.0000
 0(   1) -149.911 3( 766) -116.803  33.108    0.0000
 0(   1) -149.911 3( 768) -116.782  33.129    0.0001
 0(   1) -149.911 3( 775) -116.763  33.148    0.0000
 0(   1) -149.911 3( 783) -116.691  33.220    0.0001
 0(   1) -149.911 3( 788) -116.668  33.244    0.0000
 0(   1) -149.911 3( 797) -116.621  33.291    0.0000
