0.2 5.87616 0.27575
0.225 4.64889 0.218229
0.25 3.77768 0.17739
0.275 3.13659 0.147337
0.3 2.65113 0.124577
0.325 2.27431 0.106909
0.35 1.97603 0.0929216
0.375 1.7357 0.0816507
0.4 1.53933 0.0724412
0.425 1.37638 0.0647959
0.45 1.2399 0.0583951
0.475 1.12423 0.0529686
0.5 1.02543 0.0483317
0.525 0.940406 0.0443417
0.55 0.866623 0.0408817
0.575 0.802092 0.0378528
0.6 0.745381 0.0351917
0.625 0.695291 0.0328414
0.65 0.650811 0.0307531
0.675 0.611041 0.0288863
0.7 0.575462 0.0272161
0.725 0.543319 0.0257074
0.75 0.514329 0.0243475
0.775 0.48805 0.0231136
0.8 0.464103 0.0219895
0.825 0.442235 0.020963
0.85 0.422235 0.0200242
0.875 0.403849 0.019161
