0.2 8.22665 0.67788
0.21 7.45387 0.616089
0.22 6.78741 0.562716
0.23 6.20852 0.516274
0.24 5.70198 0.475611
0.25 5.25646 0.43991
0.26 4.86248 0.408241
0.27 4.51246 0.380091
0.28 4.19988 0.35495
0.29 3.91973 0.332372
0.3 3.66755 0.312045
0.31 3.43976 0.293668
0.32 3.23331 0.277001
0.33 3.04559 0.261823
0.34 2.87439 0.247975
0.35 2.71788 0.235299
0.36 2.57428 0.223669
0.37 2.4421 0.21291
0.38 2.32062 0.203087
0.39 2.2085 0.19394
0.4 2.10439 0.185472
0.41 2.00813 0.177608
0.42 1.91845 0.170322
0.43 1.8352 0.163539
0.44 1.75753 0.157231
0.45 1.68484 0.15126
0.46 1.61694 0.145744
0.47 1.55352 0.140524
0.48 1.49382 0.135653
0.49 1.43784 0.131038
0.5 1.3851 0.126732
0.51 1.33554 0.12266
0.52 1.28862 0.118802
0.53 1.24455 0.115157
0.54 1.20274 0.111724
0.55 1.16323 0.108461
0.56 1.12578 0.105382
0.57 1.09034 0.102444
0.58 1.05663 0.0996503
0.59 1.02466 0.097013
0.6 0.994212 0.0944927
0.61 0.96532 0.0921005
0.62 0.937773 0.0898114
0.63 0.911472 0.0876197
0.64 0.886477 0.0855534
0.65 0.862528 0.0835698
0.66 0.839666 0.0816578
0.67 0.817809 0.0798384
0.68 0.79693 0.0780881
0.69 0.776931 0.0764321
0.7 0.757777 0.0748206
0.71 0.739383 0.0732902
0.72 0.72177 0.0718117
0.73 0.704867 0.0703987
0.74 0.688631 0.0690461
0.75 0.673024 0.0677334
0.76 0.658024 0.0664727
0.77 0.643621 0.0652634
0.78 0.629741 0.0640939
0.79 0.616365 0.0629669
0.8 0.603509 0.0618804
0.81 0.591082 0.0608381
0.82 0.579112 0.0598282
0.83 0.56757 0.0588541
0.84 0.556439 0.0579066
0.85 0.54568 0.0570007
0.86 0.535287 0.0561195
0.87 0.525259 0.0552682
0.88 0.515545 0.0544441
0.89 0.50616 0.0536452
