 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   1.150E-02  7.875E-06  149.25 mm     5.92 mm     3.17 mm  
   3.00 MeV   1.080E-02  7.291E-06  171.66 mm     6.75 mm     3.58 mm  
   3.25 MeV   1.024E-02  6.792E-06  195.41 mm     7.59 mm     4.00 mm  
   3.50 MeV   9.683E-03  6.360E-06  220.49 mm     8.42 mm     4.45 mm  
   3.75 MeV   9.179E-03  5.982E-06  246.98 mm     9.27 mm     4.92 mm  
   4.00 MeV   8.755E-03  5.648E-06  274.83 mm    10.12 mm     5.42 mm  
   4.50 MeV   8.027E-03  5.086E-06  334.42 mm    13.27 mm     6.47 mm  
   5.00 MeV   7.422E-03  4.630E-06  399.15 mm    16.22 mm     7.61 mm  
   5.50 MeV   6.912E-03  4.252E-06  468.89 mm    19.08 mm     8.83 mm  
   6.00 MeV   6.475E-03  3.934E-06  543.56 mm    21.92 mm    10.12 mm  
   6.50 MeV   6.096E-03  3.662E-06  623.07 mm    24.75 mm    11.50 mm  
   7.00 MeV   5.763E-03  3.427E-06  707.36 mm    27.60 mm    12.95 mm  
   8.00 MeV   5.205E-03  3.040E-06  889.81 mm    38.01 mm    16.07 mm  
   9.00 MeV   4.755E-03  2.735E-06    1.09 m     47.69 mm    19.49 mm  
  10.00 MeV   4.383E-03  2.487E-06    1.31 m     57.11 mm    23.18 mm  
  11.00 MeV   4.070E-03  2.283E-06    1.55 m     66.47 mm    27.14 mm  
  12.00 MeV   3.803E-03  2.111E-06    1.80 m     75.85 mm    31.38 mm  
  13.00 MeV   3.571E-03  1.964E-06    2.07 m     85.32 mm    35.88 mm  
  14.00 MeV   3.369E-03  1.836E-06    2.36 m     94.89 mm    40.64 mm  
  15.00 MeV   3.190E-03  1.725E-06    2.66 m    104.60 mm    45.66 mm  
  16.00 MeV   3.031E-03  1.628E-06    2.99 m    114.44 mm    50.92 mm  
  17.00 MeV   2.888E-03  1.541E-06    3.32 m    124.43 mm    56.44 mm  
  18.00 MeV   2.760E-03  1.463E-06    3.68 m    134.57 mm    62.20 mm  
  20.00 MeV   2.537E-03  1.330E-06    4.43 m    172.66 mm    74.46 mm  
  22.50 MeV   2.308E-03  1.195E-06    5.47 m    227.18 mm    91.13 mm  
  25.00 MeV   2.120E-03  1.086E-06    6.59 m    278.82 mm   109.26 mm  
  27.50 MeV   1.963E-03  9.959E-07    7.82 m    329.41 mm   128.81 mm  
  30.00 MeV   1.830E-03  9.201E-07    9.14 m    379.79 mm   149.76 mm  
  32.50 MeV   1.715E-03  8.555E-07   10.55 m    430.37 mm   172.09 mm  
  35.00 MeV   1.615E-03  7.996E-07   12.05 m    481.40 mm   195.77 mm  
  37.50 MeV   1.526E-03  7.509E-07   13.64 m    533.02 mm   220.79 mm  
  40.00 MeV   1.448E-03  7.080E-07   15.32 m    585.32 mm   247.12 mm  
  45.00 MeV   1.316E-03  6.358E-07   18.94 m    780.93 mm   303.68 mm  
  50.00 MeV   1.207E-03  5.774E-07   22.91 m    964.88 mm   365.30 mm  
  55.00 MeV   1.117E-03  5.293E-07   27.21 m      1.14 m    431.87 mm  
  60.00 MeV   1.040E-03  4.887E-07   31.85 m      1.32 m    503.29 mm  
  65.00 MeV   9.741E-04  4.542E-07   36.81 m      1.50 m    579.45 mm  
  70.00 MeV   9.169E-04  4.244E-07   42.10 m      1.68 m    660.28 mm  
  80.00 MeV   8.222E-04  3.755E-07   53.61 m      2.35 m    835.63 mm  
  90.00 MeV   7.470E-04  3.370E-07   66.37 m      2.97 m      1.03 m   
 100.00 MeV   6.858E-04  3.059E-07   80.33 m      3.58 m      1.24 m   
