 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 08, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_900mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.501E-02  5.255E-04  739.46 um   194.00 um   199.30 um  
  11.00 keV   1.576E-02  4.917E-04  796.08 um   200.23 um   208.20 um  
  12.00 keV   1.649E-02  4.625E-04  850.73 um   205.81 um   216.38 um  
  13.00 keV   1.719E-02  4.370E-04  903.60 um   210.84 um   223.93 um  
  14.00 keV   1.786E-02  4.144E-04  954.83 um   215.41 um   230.94 um  
  15.00 keV   1.851E-02  3.943E-04    1.00 mm   219.59 um   237.47 um  
  16.00 keV   1.914E-02  3.763E-04    1.05 mm   223.41 um   243.58 um  
  17.00 keV   1.975E-02  3.600E-04    1.10 mm   226.94 um   249.31 um  
  18.00 keV   2.033E-02  3.453E-04    1.15 mm   230.21 um   254.71 um  
  20.00 keV   2.145E-02  3.194E-04    1.23 mm   236.22 um   264.63 um  
  22.50 keV   2.274E-02  2.926E-04    1.34 mm   242.79 um   275.66 um  
  25.00 keV   2.393E-02  2.704E-04    1.44 mm   248.45 um   285.47 um  
  27.50 keV   2.503E-02  2.515E-04    1.54 mm   253.41 um   294.29 um  
  30.00 keV   2.603E-02  2.354E-04    1.63 mm   257.81 um   302.31 um  
  32.50 keV   2.695E-02  2.214E-04    1.72 mm   261.76 um   309.65 um  
