 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 08, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   2.084E+01  1.400E-02  157.14 um     6.69 um     5.80 um  
   6.00 MeV   1.961E+01  1.297E-02  181.79 um     7.65 um     6.64 um  
   6.50 MeV   1.853E+01  1.208E-02  207.95 um     8.62 um     7.53 um  
   7.00 MeV   1.758E+01  1.132E-02  235.57 um     9.59 um     8.47 um  
   8.00 MeV   1.597E+01  1.006E-02  295.08 um    12.99 um    10.46 um  
   9.00 MeV   1.466E+01  9.059E-03  360.25 um    16.16 um    12.62 um  
  10.00 MeV   1.358E+01  8.250E-03  430.94 um    19.26 um    14.94 um  
  11.00 MeV   1.265E+01  7.580E-03  507.03 um    22.33 um    17.42 um  
  12.00 MeV   1.186E+01  7.015E-03  588.44 um    25.42 um    20.05 um  
  13.00 MeV   1.117E+01  6.532E-03  675.08 um    28.53 um    22.84 um  
  14.00 MeV   1.057E+01  6.114E-03  766.86 um    31.68 um    25.77 um  
  15.00 MeV   1.003E+01  5.748E-03  863.71 um    34.87 um    28.85 um  
  16.00 MeV   9.556E+00  5.426E-03  965.57 um    38.11 um    32.07 um  
  17.00 MeV   9.126E+00  5.140E-03    1.07 mm    41.40 um    35.43 um  
  18.00 MeV   8.738E+00  4.883E-03    1.18 mm    44.74 um    38.93 um  
  20.00 MeV   8.061E+00  4.443E-03    1.42 mm    56.76 um    46.35 um  
