 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   4.765E-03  2.500E-06  362.39 mm    15.20 mm    10.73 mm  
   3.25 MeV   4.479E-03  2.328E-06  416.40 mm    17.18 mm    12.25 mm  
   3.50 MeV   4.229E-03  2.180E-06  473.74 mm    19.17 mm    13.85 mm  
   3.75 MeV   4.008E-03  2.050E-06  534.35 mm    21.18 mm    15.54 mm  
   4.00 MeV   3.810E-03  1.935E-06  598.21 mm    23.23 mm    17.31 mm  
   4.50 MeV   3.474E-03  1.742E-06  735.41 mm    30.63 mm    21.11 mm  
   5.00 MeV   3.197E-03  1.585E-06  885.20 mm    37.63 mm    25.23 mm  
   5.50 MeV   2.964E-03  1.455E-06    1.05 m     44.48 mm    29.67 mm  
   6.00 MeV   2.766E-03  1.346E-06    1.22 m     51.29 mm    34.42 mm  
   6.50 MeV   2.594E-03  1.253E-06    1.41 m     58.14 mm    39.47 mm  
   7.00 MeV   2.445E-03  1.172E-06    1.61 m     65.06 mm    44.83 mm  
   8.00 MeV   2.196E-03  1.040E-06    2.04 m     90.07 mm    56.43 mm  
   9.00 MeV   1.997E-03  9.350E-07    2.51 m    113.51 mm    69.19 mm  
  10.00 MeV   1.834E-03  8.502E-07    3.04 m    136.46 mm    83.09 mm  
  11.00 MeV   1.697E-03  7.802E-07    3.60 m    159.38 mm    98.09 mm  
  12.00 MeV   1.581E-03  7.212E-07    4.21 m    182.48 mm   114.17 mm  
  13.00 MeV   1.482E-03  6.708E-07    4.86 m    205.87 mm   131.33 mm  
  14.00 MeV   1.395E-03  6.273E-07    5.56 m    229.61 mm   149.54 mm  
  15.00 MeV   1.318E-03  5.893E-07    6.29 m    253.75 mm   168.78 mm  
  16.00 MeV   1.251E-03  5.558E-07    7.07 m    278.31 mm   189.04 mm  
  17.00 MeV   1.190E-03  5.261E-07    7.89 m    303.29 mm   210.31 mm  
  18.00 MeV   1.136E-03  4.995E-07    8.75 m    328.70 mm   232.57 mm  
  20.00 MeV   1.042E-03  4.539E-07   10.58 m    422.59 mm   280.03 mm  
  22.50 MeV   9.466E-04  4.078E-07   13.10 m    556.85 mm   344.75 mm  
  25.00 MeV   8.686E-04  3.705E-07   15.85 m    684.44 mm   415.29 mm  
  27.50 MeV   8.036E-04  3.397E-07   18.84 m    809.74 mm   491.51 mm  
  30.00 MeV   7.486E-04  3.138E-07   22.06 m    934.70 mm   573.28 mm  
  32.50 MeV   7.015E-04  2.917E-07   25.50 m      1.06 m    660.47 mm  
  35.00 MeV   6.606E-04  2.726E-07   29.17 m      1.19 m    752.96 mm  
  37.50 MeV   6.247E-04  2.560E-07   33.06 m      1.32 m    850.65 mm  
  40.00 MeV   5.930E-04  2.413E-07   37.16 m      1.45 m    953.43 mm  
