 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_900mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.04372 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   1.610E-01  1.927E-04   27.37 mm     1.10 mm     1.39 mm  
   3.25 MeV   1.596E-01  1.799E-04   28.92 mm     1.13 mm     1.41 mm  
   3.50 MeV   1.579E-01  1.688E-04   30.49 mm     1.15 mm     1.42 mm  
   3.75 MeV   1.560E-01  1.591E-04   32.08 mm     1.18 mm     1.43 mm  
   4.00 MeV   1.538E-01  1.504E-04   33.69 mm     1.20 mm     1.44 mm  
   4.50 MeV   1.492E-01  1.359E-04   36.99 mm     1.29 mm     1.47 mm  
   5.00 MeV   1.444E-01  1.240E-04   40.39 mm     1.39 mm     1.49 mm  
   5.50 MeV   1.395E-01  1.142E-04   43.91 mm     1.48 mm     1.52 mm  
   6.00 MeV   1.347E-01  1.059E-04   47.55 mm     1.57 mm     1.54 mm  
   6.50 MeV   1.301E-01  9.875E-05   51.33 mm     1.66 mm     1.56 mm  
   7.00 MeV   1.256E-01  9.257E-05   55.24 mm     1.76 mm     1.59 mm  
   8.00 MeV   1.174E-01  8.237E-05   63.47 mm     2.12 mm     1.64 mm  
   9.00 MeV   1.099E-01  7.430E-05   72.26 mm     2.46 mm     1.70 mm  
  10.00 MeV   1.033E-01  6.774E-05   81.65 mm     2.81 mm     1.75 mm  
  11.00 MeV   9.728E-02  6.229E-05   91.62 mm     3.15 mm     1.82 mm  
  12.00 MeV   9.193E-02  5.770E-05  102.19 mm     3.49 mm     1.89 mm  
  13.00 MeV   8.711E-02  5.377E-05  113.36 mm     3.84 mm     1.96 mm  
  14.00 MeV   8.276E-02  5.036E-05  125.13 mm     4.20 mm     2.04 mm  
  15.00 MeV   7.882E-02  4.738E-05  137.50 mm     4.56 mm     2.12 mm  
  16.00 MeV   7.524E-02  4.475E-05  150.48 mm     4.92 mm     2.21 mm  
  17.00 MeV   7.197E-02  4.241E-05  164.06 mm     5.29 mm     2.31 mm  
