157 10671
157 10992
158 35487
158 38843
159 13805
159 15830
160 11760
160 25910
160 28984
161 46181
162 39353
164 2336
164 25763
164 36741
166 36875
167 6349
167 19496
167 32054
167 32937
168 44050
169 10533
169 30052
169 59814
169 64848
170 52135
170 54199
171 2313
171 26598
171 54627
171 69684
172 31522
173 21383
173 31906
174 15461
174 42026
174 42185
174 47044
174 51806
174 56848
175 35159
176 56241
176 60567
177 27632
177 29941
177 66843
177 67515
178 50703
178 62397
179 10898
179 58918
180 1618
181 69163
185 57881
186 55905
187 2081
188 56064
191 3030
191 27750
191 44988
191 54531
192 8245
193 34214
193 48730
194 18732
194 52702
195 53483
196 28998
200 23648
200 49333
200 62872
201 2570
201 30271
201 37908
201 39239
203 5811
203 36842
203 60198
203 60257
204 56746
205 21730
205 30693
205 63373
