Sil_f0_0_E 0.09692856 0.00251885
Sil_f0_0_P 26.98531346 11.88076070
Sil_f0_1_E 0.06652284 0.00249257
Sil_f0_1_P 29.79335680 7.05343342
Sil_f0_2_E 0.07024625 0.00250518
Sil_f0_2_P 26.16065662 6.96143263
Sil_f0_3_E 0.06518787 0.00253321
Sil_f0_3_P 27.58626273 6.88764384
Sil_f0_4_E 0.07547314 0.00259434
Sil_f0_4_P 31.36281259 6.77490150
Sil_f0_5_E 0.08675819 0.00251116
Sil_f0_5_P 29.68935473 7.30063827
Sil_f0_6_E 0.02494715 0.00252328
Sil_f0_6_P 45.23156646 7.43679647
Sil_f0_7_E 0.07620183 0.00249880
Sil_f0_7_P 25.76766042 7.20809664
Sil_f0_8_E -0.17234270 0.00257009
Sil_f0_8_P 120.70230628 7.19563025
Sil_f0_9_E -0.16195567 0.00268102
Sil_f0_9_P 122.98981181 11.56749963
Sil_f0_10_E -0.16099955 0.00250494
Sil_f0_10_P 118.80738008 8.60928621
