


 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_mod_j0p.wav=O19_sfotls_mod_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 5(  99) -123.579  26.124    0.0000
 0(   1) -149.703 5( 101) -123.525  26.177    0.0001
 0(   1) -149.703 5( 107) -123.387  26.316    0.0007
 0(   1) -149.703 5( 114) -123.117  26.586    0.0001
 0(   1) -149.703 5( 117) -123.083  26.620    0.0001
 0(   1) -149.703 5( 120) -122.980  26.723    0.0000
 0(   1) -149.703 5( 124) -122.854  26.849    0.0000
 0(   1) -149.703 5( 130) -122.658  27.045    0.0002
 0(   1) -149.703 5( 131) -122.646  27.056    0.0000
 0(   1) -149.703 5( 135) -122.589  27.114    0.0006
 0(   1) -149.703 5( 139) -122.486  27.217    0.0000
 0(   1) -149.703 5( 143) -122.360  27.343    0.0001
 0(   1) -149.703 5( 145) -122.332  27.371    0.0006
 0(   1) -149.703 5( 152) -122.193  27.509    0.0022
 0(   1) -149.703 5( 158) -122.043  27.660    0.0003
 0(   1) -149.703 5( 160) -122.016  27.687    0.0000
 0(   1) -149.703 5( 163) -121.936  27.766    0.0008
 0(   1) -149.703 5( 169) -121.843  27.859    0.0002
 0(   1) -149.703 5( 174) -121.798  27.904    0.0002
 0(   1) -149.703 5( 180) -121.637  28.065    0.0009
 0(   1) -149.703 5( 184) -121.587  28.116    0.0001
 0(   1) -149.703 5( 186) -121.533  28.170    0.0000
 0(   1) -149.703 5( 190) -121.441  28.262    0.0002
 0(   1) -149.703 5( 195) -121.351  28.352    0.0002
 0(   1) -149.703 5( 198) -121.275  28.427    0.0002
 0(   1) -149.703 5( 205) -121.187  28.515    0.0000
 0(   1) -149.703 5( 210) -121.121  28.581    0.0001
 0(   1) -149.703 5( 213) -121.057  28.646    0.0000
 0(   1) -149.703 5( 219) -120.962  28.741    0.0004
 0(   1) -149.703 5( 226) -120.833  28.870    0.0000
 0(   1) -149.703 5( 227) -120.813  28.890    0.0009
 0(   1) -149.703 5( 233) -120.692  29.010    0.0000
