

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_mod_j0p.wav=O19_sfotls_mod_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 3( 137) -125.461  24.241    0.0001
 0(   1) -149.703 3( 140) -125.250  24.452    0.0140
 0(   1) -149.703 3( 144) -125.160  24.542    0.0367
 0(   1) -149.703 3( 150) -124.992  24.711    0.0015
 0(   1) -149.703 3( 157) -124.787  24.916    0.0111
 0(   1) -149.703 3( 161) -124.760  24.943    0.0000
 0(   1) -149.703 3( 164) -124.661  25.042    0.0164
 0(   1) -149.703 3( 167) -124.543  25.160    0.0250
 0(   1) -149.703 3( 176) -124.442  25.261    0.0028
 0(   1) -149.703 3( 185) -124.277  25.425    0.0022
 0(   1) -149.703 3( 188) -124.047  25.655    0.0040
 0(   1) -149.703 3( 194) -124.026  25.677    0.0771
 0(   1) -149.703 3( 196) -123.923  25.780    0.0059
 0(   1) -149.703 3( 199) -123.898  25.804    0.0000
 0(   1) -149.703 3( 203) -123.865  25.837    0.0017
 0(   1) -149.703 3( 209) -123.755  25.948    0.0005
 0(   1) -149.703 3( 212) -123.699  26.004    0.0021
 0(   1) -149.703 3( 221) -123.582  26.121    0.0318
 0(   1) -149.703 3( 225) -123.406  26.297    0.0121
 0(   1) -149.703 3( 231) -123.400  26.303    0.0014
 0(   1) -149.703 3( 239) -123.252  26.451    0.0037
 0(   1) -149.703 3( 245) -123.064  26.638    0.0067
 0(   1) -149.703 3( 246) -123.094  26.609    0.0366
 0(   1) -149.703 3( 255) -122.978  26.725    0.0257
 0(   1) -149.703 3( 260) -122.851  26.852    0.0012
 0(   1) -149.703 3( 263) -122.848  26.854    0.0075
 0(   1) -149.703 3( 273) -122.599  27.103    0.0098
 0(   1) -149.703 3( 276) -122.632  27.070    0.0101
 0(   1) -149.703 3( 283) -122.515  27.188    0.0001
 0(   1) -149.703 3( 289) -122.464  27.239    0.0022
 0(   1) -149.703 3( 292) -122.359  27.343    0.0000
 0(   1) -149.703 3( 293) -122.411  27.292    0.0165
 0(   1) -149.703 3( 299) -122.350  27.353    0.0970
 0(   1) -149.703 3( 301) -122.226  27.477    0.0016
 0(   1) -149.703 3( 311) -122.134  27.568    0.0432
 0(   1) -149.703 3( 314) -122.103  27.600    0.0826
 0(   1) -149.703 3( 319) -122.011  27.692    0.0131
 0(   1) -149.703 3( 324) -121.946  27.757    0.0029
 0(   1) -149.703 3( 328) -121.863  27.840    0.0043
 0(   1) -149.703 3( 334) -121.758  27.945    0.0023
 0(   1) -149.703 3( 341) -121.688  28.015    0.0005
 0(   1) -149.703 3( 343) -121.619  28.084    0.0096
 0(   1) -149.703 3( 354) -121.595  28.108    0.0005
 0(   1) -149.703 3( 357) -121.464  28.238    0.0002
 0(   1) -149.703 3( 358) -121.545  28.158    0.0000
 0(   1) -149.703 3( 371) -121.407  28.296    0.0003
 0(   1) -149.703 3( 379) -121.297  28.406    0.0145
 0(   1) -149.703 3( 385) -121.240  28.462    0.0254
 0(   1) -149.703 3( 390) -121.095  28.608    0.0012
 0(   1) -149.703 3( 395) -121.086  28.616    0.0777
 0(   1) -149.703 3( 402) -121.003  28.699    0.0523
 0(   1) -149.703 3( 405) -120.981  28.722    0.0137
 0(   1) -149.703 3( 408) -120.872  28.831    0.0205
 0(   1) -149.703 3( 426) -120.789  28.914    0.0077
 0(   1) -149.703 3( 428) -120.745  28.958    0.0306
 0(   1) -149.703 3( 434) -120.730  28.973    0.0465
 0(   1) -149.703 3( 437) -120.577  29.125    0.0008
 0(   1) -149.703 3( 441) -120.549  29.154    0.0050
 0(   1) -149.703 3( 447) -120.546  29.156    0.0003
 0(   1) -149.703 3( 456) -120.423  29.279    0.0124
 0(   1) -149.703 3( 460) -120.360  29.343    0.0028
 0(   1) -149.703 3( 468) -120.317  29.386    0.0070
 0(   1) -149.703 3( 472) -120.219  29.484    0.0013
 0(   1) -149.703 3( 480) -120.177  29.526    0.0019
 0(   1) -149.703 3( 481) -120.158  29.545    0.0001
 0(   1) -149.703 3( 492) -120.037  29.666    0.0006
 0(   1) -149.703 3( 498) -119.967  29.736    0.0003
 0(   1) -149.703 3( 503) -119.926  29.776    0.0360
 0(   1) -149.703 3( 507) -119.905  29.798    0.1135
 0(   1) -149.703 3( 510) -119.925  29.778    0.0425
 0(   1) -149.703 3( 515) -119.800  29.902    0.0105
 0(   1) -149.703 3( 520) -119.765  29.937    0.0039
 0(   1) -149.703 3( 524) -119.731  29.972    0.0001
 0(   1) -149.703 3( 527) -119.763  29.939    0.0327
 0(   1) -149.703 3( 528) -119.739  29.964    0.0003
 0(   1) -149.703 3( 544) -119.640  30.063    0.0024
 0(   1) -149.703 3( 549) -119.598  30.105    0.0146
 0(   1) -149.703 3( 555) -119.509  30.194    0.0028
 0(   1) -149.703 3( 561) -119.378  30.324    0.0067
 0(   1) -149.703 3( 569) -119.418  30.285    0.0013
 0(   1) -149.703 3( 574) -119.345  30.357    0.0231
 0(   1) -149.703 3( 585) -119.201  30.502    0.0018
 0(   1) -149.703 3( 586) -119.227  30.476    0.0034
 0(   1) -149.703 3( 600) -119.127  30.576    0.0393
 0(   1) -149.703 3( 605) -119.153  30.550    0.0069
 0(   1) -149.703 3( 609) -119.140  30.562    0.0275
 0(   1) -149.703 3( 613) -119.031  30.672    0.0125
 0(   1) -149.703 3( 618) -119.042  30.661    0.0021
 0(   1) -149.703 3( 621) -118.967  30.736    0.0002
 0(   1) -149.703 3( 625) -118.923  30.780    0.0084
 0(   1) -149.703 3( 635) -118.894  30.808    0.0000
 0(   1) -149.703 3( 642) -118.796  30.906    0.0282
 0(   1) -149.703 3( 654) -118.768  30.935    0.1043
 0(   1) -149.703 3( 655) -118.751  30.951    0.0797



