

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 3( 107) -117.150  22.515    0.0115
 0(   1) -139.666 3( 111) -116.878  22.787    0.0031
 0(   1) -139.666 3( 120) -116.573  23.093    0.0229
 0(   1) -139.666 3( 121) -116.558  23.108    0.0011
 0(   1) -139.666 3( 126) -116.360  23.305    0.0000
 0(   1) -139.666 3( 131) -116.325  23.341    0.1013
 0(   1) -139.666 3( 134) -116.192  23.473    0.0003
 0(   1) -139.666 3( 139) -116.044  23.622    0.0275
 0(   1) -139.666 3( 141) -115.961  23.704    0.0004
 0(   1) -139.666 3( 152) -115.607  24.059    0.0167
 0(   1) -139.666 3( 157) -115.547  24.119    0.0048
 0(   1) -139.666 3( 162) -115.430  24.235    0.0003
 0(   1) -139.666 3( 164) -115.354  24.312    0.0007
 0(   1) -139.666 3( 169) -115.149  24.517    0.0324
 0(   1) -139.666 3( 176) -115.104  24.562    0.0057
 0(   1) -139.666 3( 181) -114.936  24.729    0.0297
 0(   1) -139.666 3( 185) -114.872  24.794    0.0116
 0(   1) -139.666 3( 192) -114.739  24.927    0.0038
 0(   1) -139.666 3( 199) -114.564  25.102    0.0957
 0(   1) -139.666 3( 206) -114.458  25.208    0.0063
 0(   1) -139.666 3( 212) -114.259  25.407    0.0109
 0(   1) -139.666 3( 222) -114.069  25.597    0.0252
 0(   1) -139.666 3( 226) -113.892  25.773    0.0018
 0(   1) -139.666 3( 232) -113.811  25.854    0.0211
 0(   1) -139.666 3( 240) -113.663  26.003    0.0153
 0(   1) -139.666 3( 248) -113.532  26.133    0.0000
 0(   1) -139.666 3( 254) -113.393  26.273    0.0002
 0(   1) -139.666 3( 257) -113.316  26.350    0.0063
 0(   1) -139.666 3( 263) -113.204  26.462    0.0980
 0(   1) -139.666 3( 265) -113.182  26.483    0.0359
 0(   1) -139.666 3( 269) -113.135  26.530    0.0672
 0(   1) -139.666 3( 274) -113.023  26.643    0.0416
 0(   1) -139.666 3( 280) -112.776  26.890    0.0048
 0(   1) -139.666 3( 291) -112.725  26.940    0.0111
 0(   1) -139.666 3( 292) -112.691  26.975    0.0092
 0(   1) -139.666 3( 294) -112.560  27.105    0.0205
 0(   1) -139.666 3( 302) -112.535  27.130    0.0246
 0(   1) -139.666 3( 308) -112.474  27.191    0.0010
 0(   1) -139.666 3( 316) -112.409  27.257    0.0011
 0(   1) -139.666 3( 321) -112.273  27.392    0.0102
 0(   1) -139.666 3( 328) -112.174  27.492    0.0802
 0(   1) -139.666 3( 331) -111.959  27.707    0.0029
 0(   1) -139.666 3( 335) -112.006  27.660    0.0303
 0(   1) -139.666 3( 341) -111.950  27.715    0.0012
 0(   1) -139.666 3( 344) -111.946  27.720    0.0036
 0(   1) -139.666 3( 353) -111.763  27.902    0.0156
 0(   1) -139.666 3( 355) -111.676  27.989    0.0022
 0(   1) -139.666 3( 363) -111.615  28.051    0.0477
 0(   1) -139.666 3( 366) -111.486  28.179    0.0015
 0(   1) -139.666 3( 371) -111.565  28.101    0.0001
 0(   1) -139.666 3( 380) -111.448  28.218    0.0001
 0(   1) -139.666 3( 383) -111.419  28.246    0.0561
 0(   1) -139.666 3( 388) -111.360  28.306    0.0027
 0(   1) -139.666 3( 393) -111.224  28.441    0.0000
 0(   1) -139.666 3( 403) -111.112  28.553    0.0000
 0(   1) -139.666 3( 407) -111.060  28.606    0.0200
 0(   1) -139.666 3( 413) -111.000  28.666    0.0025
 0(   1) -139.666 3( 422) -110.914  28.751    0.0208
 0(   1) -139.666 3( 428) -110.821  28.844    0.0006
 0(   1) -139.666 3( 430) -110.800  28.865    0.0449
 0(   1) -139.666 3( 433) -110.757  28.909    0.0125
 0(   1) -139.666 3( 441) -110.669  28.997    0.0047
 0(   1) -139.666 3( 442) -110.708  28.958    0.1383
 0(   1) -139.666 3( 445) -110.626  29.039    0.0139
 0(   1) -139.666 3( 452) -110.489  29.176    0.0267
 0(   1) -139.666 3( 456) -110.423  29.242    0.0001
 0(   1) -139.666 3( 460) -110.382  29.283    0.0001
 0(   1) -139.666 3( 464) -110.427  29.238    0.0249
 0(   1) -139.666 3( 472) -110.265  29.401    0.0011
 0(   1) -139.666 3( 481) -110.266  29.400    0.0444
 0(   1) -139.666 3( 482) -110.250  29.416    0.0017
 0(   1) -139.666 3( 489) -110.125  29.541    0.0157
