

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 5(  26) -119.416  20.250    0.0003
 0(   1) -139.666 5(  27) -118.882  20.783    0.0016
 0(   1) -139.666 5(  34) -117.162  22.504    0.0043
 0(   1) -139.666 5(  37) -116.736  22.929    0.0001
 0(   1) -139.666 5(  42) -116.030  23.636    0.0053
 0(   1) -139.666 5(  48) -115.494  24.171    0.0060
 0(   1) -139.666 5(  49) -115.546  24.119    0.0001
 0(   1) -139.666 5(  50) -115.296  24.370    0.0010
 0(   1) -139.666 5(  52) -114.972  24.693    0.0010
 0(   1) -139.666 5(  54) -114.887  24.779    0.0000
 0(   1) -139.666 5(  64) -114.422  25.244    0.0001
 0(   1) -139.666 5(  66) -114.329  25.337    0.0005
 0(   1) -139.666 5(  69) -114.170  25.495    0.0016
 0(   1) -139.666 5(  72) -114.067  25.598    0.0002
 0(   1) -139.666 5(  81) -113.662  26.003    0.0000
 0(   1) -139.666 5(  87) -113.421  26.244    0.0010
 0(   1) -139.666 5(  92) -113.388  26.278    0.0008
 0(   1) -139.666 5(  93) -113.226  26.440    0.0001
 0(   1) -139.666 5(  95) -113.220  26.445    0.0003
 0(   1) -139.666 5(  96) -113.094  26.572    0.0000
 0(   1) -139.666 5( 107) -112.931  26.734    0.0000
 0(   1) -139.666 5( 109) -112.900  26.766    0.0000
 0(   1) -139.666 5( 113) -112.788  26.878    0.0008
 0(   1) -139.666 5( 115) -112.840  26.826    0.0001
 0(   1) -139.666 5( 120) -112.536  27.130    0.0001
 0(   1) -139.666 5( 124) -112.466  27.199    0.0001
 0(   1) -139.666 5( 126) -112.403  27.263    0.0000
 0(   1) -139.666 5( 132) -112.253  27.413    0.0000
 0(   1) -139.666 5( 138) -112.110  27.556    0.0002
