

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 5(  26) -119.013  18.297    0.0170
 0(   1) -137.310 5(  29) -118.135  19.175    0.0003
 0(   1) -137.310 5(  32) -117.327  19.983    0.0000
 0(   1) -137.310 5(  38) -116.369  20.941    0.0001
 0(   1) -137.310 5(  39) -116.224  21.086    0.0016
 0(   1) -137.310 5(  44) -115.835  21.475    0.0000
 0(   1) -137.310 5(  46) -115.497  21.813    0.0092
 0(   1) -137.310 5(  51) -114.921  22.389    0.0000
 0(   1) -137.310 5(  55) -114.584  22.726    0.0030
 0(   1) -137.310 5(  64) -114.137  23.173    0.0010
 0(   1) -137.310 5(  69) -113.950  23.360    0.0000
 0(   1) -137.310 5(  74) -113.661  23.649    0.0001
 0(   1) -137.310 5(  80) -113.304  24.006    0.0007
 0(   1) -137.310 5(  83) -113.173  24.137    0.0004
 0(   1) -137.310 5(  88) -113.054  24.256    0.0008
 0(   1) -137.310 5(  90) -113.010  24.300    0.0044
 0(   1) -137.310 5(  93) -112.980  24.330    0.0001
 0(   1) -137.310 5(  98) -112.674  24.636    0.0011
 0(   1) -137.310 5( 101) -112.611  24.699    0.0001
 0(   1) -137.310 5( 108) -112.455  24.856    0.0011
 0(   1) -137.310 5( 111) -112.366  24.944    0.0030
 0(   1) -137.310 5( 113) -112.376  24.934    0.0000
 0(   1) -137.310 5( 115) -112.259  25.052    0.0002
 0(   1) -137.310 5( 117) -112.133  25.177    0.0001
 0(   1) -137.310 5( 119) -112.092  25.218    0.0001
 0(   1) -137.310 5( 125) -111.912  25.398    0.0001
 0(   1) -137.310 5( 133) -111.716  25.594    0.0017
 0(   1) -137.310 5( 137) -111.587  25.723    0.0006
 0(   1) -137.310 5( 140) -111.530  25.780    0.0018
 0(   1) -137.310 5( 143) -111.453  25.857    0.0018
 0(   1) -137.310 5( 150) -111.316  25.995    0.0014
 0(   1) -137.310 5( 154) -111.189  26.121    0.0000
 0(   1) -137.310 5( 157) -111.058  26.252    0.0001
 0(   1) -137.310 5( 161) -111.010  26.301    0.0000
 0(   1) -137.310 5( 168) -110.926  26.384    0.0001
 0(   1) -137.310 5( 172) -110.868  26.442    0.0002
 0(   1) -137.310 5( 177) -110.783  26.528    0.0001
 0(   1) -137.310 5( 184) -110.612  26.698    0.0004
 0(   1) -137.310 5( 188) -110.534  26.776    0.0006
 0(   1) -137.310 5( 192) -110.471  26.840    0.0009
 0(   1) -137.310 5( 196) -110.378  26.932    0.0001
 0(   1) -137.310 5( 205) -110.235  27.076    0.0003
 0(   1) -137.310 5( 211) -110.133  27.177    0.0001
 0(   1) -137.310 5( 216) -110.085  27.226    0.0008
 0(   1) -137.310 5( 222) -109.943  27.367    0.0004
 0(   1) -137.310 5( 224) -109.924  27.386    0.0004
 0(   1) -137.310 5( 226) -109.868  27.443    0.0001
 0(   1) -137.310 5( 231) -109.751  27.560    0.0005
 0(   1) -137.310 5( 233) -109.694  27.616    0.0007
 0(   1) -137.310 5( 236) -109.625  27.686    0.0000
