

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 3( 118) -116.765  20.546    0.0094
 0(   1) -137.310 3( 124) -116.624  20.686    0.0452
 0(   1) -137.310 3( 128) -116.419  20.891    0.0151
 0(   1) -137.310 3( 133) -116.267  21.043    0.0127
 0(   1) -137.310 3( 139) -116.025  21.285    0.0070
 0(   1) -137.310 3( 145) -115.859  21.451    0.0031
 0(   1) -137.310 3( 149) -115.817  21.493    0.0037
 0(   1) -137.310 3( 158) -115.571  21.739    0.0005
 0(   1) -137.310 3( 164) -115.392  21.919    0.0115
 0(   1) -137.310 3( 166) -115.302  22.008    0.0051
 0(   1) -137.310 3( 177) -115.092  22.218    0.1006
 0(   1) -137.310 3( 179) -115.054  22.256    0.0128
 0(   1) -137.310 3( 189) -114.794  22.516    0.1009
 0(   1) -137.310 3( 195) -114.617  22.694    0.0008
 0(   1) -137.310 3( 202) -114.613  22.698    0.0295
 0(   1) -137.310 3( 206) -114.481  22.829    0.0198
 0(   1) -137.310 3( 215) -114.308  23.002    0.0434
 0(   1) -137.310 3( 218) -114.259  23.051    0.0115
 0(   1) -137.310 3( 224) -114.150  23.160    0.0001
 0(   1) -137.310 3( 228) -114.086  23.224    0.0677
 0(   1) -137.310 3( 234) -113.985  23.325    0.0718
 0(   1) -137.310 3( 235) -113.956  23.355    0.0299
 0(   1) -137.310 3( 240) -113.926  23.385    0.0778
 0(   1) -137.310 3( 246) -113.800  23.511    0.0019
 0(   1) -137.310 3( 250) -113.728  23.582    0.1100
 0(   1) -137.310 3( 257) -113.557  23.753    0.1498
 0(   1) -137.310 3( 259) -113.534  23.776    0.0275
 0(   1) -137.310 3( 265) -113.374  23.936    0.0168
 0(   1) -137.310 3( 267) -113.370  23.940    0.0079
 0(   1) -137.310 3( 272) -113.329  23.982    0.0669
